,,,"Fundamental Dimensions",,,"Theoretical Gore: closed mouth, no vent",,,,,"Practical Gore, with mouth and vent removed",,,,"Practical Gore, with mouth and vent removed",,,,,"Theoretical Surface with Parachute",,,,"Actual cloth needed, without parachute",,,,"Geometrically Calculated Conical Volume",,,,,,,,,,,
,,,,,,"(No seam allowance.)",,,,,"(No seam allowance)",,,,"(Seam allowance added for cutting.)",,,,,"Surface of Balloon",,,,"Total Fabric Needed",,,,"Volume",,,,"For Plotting a Single Gore",,,,,"For Plotting Balloon Profile",,
"factor","factor","Station","Radius","Diameter","Circumference","Full Gore","Half Gore","Tri-Gore Center","Tri-Gore Side","sum of three","Full Gore","Half Gore","Tri-Gore Center","Tri-Gore Side","Full Gore","Half Gore","Tri-Gore Center","Tri-Gore Side","Actual Gore Length","Total Gore Width(s)","vertical measurement","sq in","total sq ft","Total Gore Width(s)","vertical measurement","sq in","total sq ft","Pythagorus Pre-calc","Z measurement","total Z distance","volume","station","curved +","curved -","straight +","straight -","z dimension","curved +","curved -"
"Axial_Factor","Radial_Factor","Axial","Radial","Diameter","Circumference",,"Sewn_Size",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00,0.00000,89.8 ft,0.0 ft,0.0 ft,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,,,,,,,,,,,,,1077.45,0.00,0.00,0.00,0.00,53.22,0.00,0.00
0.98,0.02000,88.0 ft,1.8 ft,3.6 ft,135.4 in,5.6 in,2.8 in,5.6 in,0.0 in,5.6 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,5.6 in,21.5 in,60.8 in,10 sq ft,0.0 in,21.5 in,0 sq in,0 sq ft,0.0 ft,0.0 ft,53.2 ft,0.0 cu ft,1055.90,0.00,0.00,0.00,0.00,53.22,1.80,-1.80
0.96,0.04000,86.2 ft,3.6 ft,7.2 ft,270.8 in,11.3 in,5.6 in,11.3 in,0.0 in,11.3 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,11.3 in,21.5 in,182.4 in,30 sq ft,0.0 in,21.5 in,0 sq in,0 sq ft,0.0 ft,0.0 ft,53.2 ft,0.0 cu ft,1034.35,0.00,0.00,0.00,0.00,53.22,3.59,-3.59
0.94,0.05999,84.4 ft,5.4 ft,10.8 ft,406.1 in,16.9 in,8.5 in,16.9 in,0.0 in,16.9 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,16.9 in,21.5 in,303.9 in,51 sq ft,0.0 in,21.5 in,0 sq in,0 sq ft,0.0 ft,0.1 ft,53.2 ft,3.6 cu ft,1012.80,0.00,0.00,0.00,0.00,53.22,5.39,-5.39
0.92,0.07997,82.6 ft,7.2 ft,14.4 ft,541.4 in,22.6 in,11.3 in,22.6 in,0.0 in,22.6 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,22.6 in,21.5 in,425.4 in,71 sq ft,0.0 in,21.5 in,0 sq in,0 sq ft,0.0 ft,0.1 ft,53.2 ft,10.0 cu ft,991.25,0.00,0.00,0.00,0.00,53.16,7.18,-7.18
0.90,0.09989,80.8 ft,9.0 ft,17.9 ft,676.2 in,28.2 in,14.1 in,28.2 in,0.0 in,28.2 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,0.0 in,28.2 in,21.5 in,546.6 in,91 sq ft,0.0 in,21.5 in,0 sq in,0 sq ft,0.0 ft,0.2 ft,53.1 ft,33.0 cu ft,969.70,0.00,0.00,0.00,0.00,53.08,8.97,-8.97
0.88,0.11974,79.0 ft,10.8 ft,21.5 ft,810.6 in,33.8 in,16.9 in,33.8 in,0.0 in,33.8 in,33.8 in,16.9 in,33.8 in,0.0 in,36.0 in,19.1 in,36.0 in,0.0 in,21.5 in,33.8 in,21.5 in,667.5 in,111 sq ft,36.0 in,21.5 in,388 sq in,65 sq ft,0.0 ft,0.2 ft,52.9 ft,67.2 cu ft,948.15,18.01,-18.01,0.00,0.00,52.92,10.75,-10.75
0.86,0.13944,77.2 ft,12.5 ft,25.0 ft,944.0 in,39.3 in,19.7 in,39.3 in,0.0 in,39.3 in,39.3 in,19.7 in,39.3 in,0.0 in,41.6 in,21.9 in,41.6 in,0.0 in,21.5 in,39.3 in,21.5 in,787.7 in,131 sq ft,41.6 in,21.5 in,836 sq in,139 sq ft,0.1 ft,0.3 ft,52.7 ft,132.0 cu ft,926.60,20.79,-20.79,0.00,0.00,52.70,12.52,-12.52
0.84,0.15891,75.4 ft,14.3 ft,28.5 ft,1075.8 in,44.8 in,22.4 in,44.8 in,0.0 in,44.8 in,44.8 in,22.4 in,44.8 in,0.0 in,47.1 in,24.7 in,47.1 in,0.0 in,21.5 in,44.8 in,21.5 in,906.7 in,151 sq ft,47.1 in,21.5 in,955 sq in,159 sq ft,0.2 ft,0.4 ft,52.4 ft,231.8 cu ft,905.05,23.54,-23.54,0.00,0.00,52.39,14.27,-14.27
0.82,0.17805,73.6 ft,16.0 ft,32.0 ft,1205.4 in,50.2 in,25.1 in,50.2 in,0.0 in,50.2 in,50.2 in,25.1 in,50.2 in,0.0 in,52.5 in,27.4 in,52.5 in,0.0 in,21.5 in,50.2 in,21.5 in,1024.1 in,171 sq ft,52.5 in,21.5 in,"1,073 sq in",179 sq ft,0.3 ft,0.5 ft,52.0 ft,374.9 cu ft,883.50,26.24,-26.24,0.00,0.00,51.98,15.99,-15.99
0.80,0.19673,71.8 ft,17.7 ft,35.3 ft,1331.8 in,55.5 in,27.7 in,55.5 in,0.0 in,55.5 in,55.5 in,27.7 in,55.5 in,0.0 in,57.7 in,30.0 in,57.7 in,0.0 in,21.5 in,55.5 in,21.5 in,1139.0 in,190 sq ft,57.7 in,21.5 in,"1,188 sq in",198 sq ft,0.4 ft,0.6 ft,51.5 ft,571.0 cu ft,861.96,28.87,-28.87,0.00,0.00,51.46,17.66,-17.66
0.78,0.21480,70.0 ft,19.3 ft,38.6 ft,1454.2 in,60.6 in,30.3 in,60.6 in,0.0 in,60.6 in,60.6 in,30.3 in,60.6 in,0.0 in,62.8 in,32.5 in,62.8 in,0.0 in,21.5 in,60.6 in,21.5 in,1250.7 in,208 sq ft,62.8 in,21.5 in,"1,299 sq in",217 sq ft,0.6 ft,0.8 ft,50.8 ft,825.8 cu ft,840.41,31.42,-31.42,0.00,0.00,50.82,19.29,-19.29
0.76,0.23210,68.2 ft,20.8 ft,41.7 ft,1571.3 in,65.5 in,32.7 in,62.8 in,1.4 in,65.5 in,65.5 in,32.7 in,62.8 in,1.4 in,67.7 in,35.0 in,65.0 in,3.6 in,21.5 in,65.5 in,21.5 in,1358.2 in,226 sq ft,67.7 in,21.5 in,"1,407 sq in",234 sq ft,0.8 ft,0.9 ft,50.0 ft,1140.0 cu ft,818.86,33.86,-33.86,0.00,0.00,50.05,20.84,-20.84
0.74,0.24844,66.4 ft,22.3 ft,44.6 ft,1681.9 in,70.1 in,35.0 in,62.8 in,3.7 in,70.1 in,70.1 in,35.0 in,62.8 in,3.7 in,72.3 in,37.3 in,65.0 in,5.9 in,21.5 in,70.1 in,21.5 in,1460.5 in,243 sq ft,72.3 in,21.5 in,"1,509 sq in",251 sq ft,1.1 ft,1.0 ft,49.1 ft,1514.6 cu ft,797.31,36.16,-36.16,0.00,0.00,49.14,22.31,-22.31
0.72,0.26364,64.6 ft,23.7 ft,47.3 ft,1784.8 in,74.4 in,37.2 in,62.8 in,5.8 in,74.4 in,74.4 in,37.2 in,62.8 in,5.8 in,76.6 in,39.4 in,65.0 in,8.1 in,21.5 in,74.4 in,21.5 in,1556.3 in,259 sq ft,76.6 in,21.5 in,"1,605 sq in",267 sq ft,1.4 ft,1.2 ft,48.1 ft,1938.3 cu ft,775.76,38.31,-38.31,0.00,0.00,48.11,23.67,-23.67
0.70,0.27751,62.9 ft,24.9 ft,49.8 ft,1878.7 in,78.3 in,39.1 in,62.8 in,7.8 in,78.3 in,78.3 in,39.1 in,62.8 in,7.8 in,80.5 in,41.4 in,65.0 in,10.0 in,21.5 in,78.3 in,21.5 in,1644.7 in,274 sq ft,80.5 in,21.5 in,"1,693 sq in",282 sq ft,1.7 ft,1.3 ft,46.9 ft,2399.4 cu ft,754.21,40.26,-40.26,0.00,0.00,46.94,24.92,-24.92
